what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1482516616779
java.specification.name,sysinfo,,,"Java Platform API Specification",1482516616779
java.specification.vendor,sysinfo,,,"Oracle Corporation",1482516616779
java.specification.version,sysinfo,,,"1.7",1482516616779
java.vendor,sysinfo,,,"Oracle Corporation",1482516616779
java.version,sysinfo,,,"1.7.0_67",1482516616779
java.vm.info,sysinfo,,,"mixed mode",1482516616779
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1482516616779
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1482516616779
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1482516616779
java.vm.specification.version,sysinfo,,,"1.7",1482516616779
java.vm.vendor,sysinfo,,,"Oracle Corporation",1482516616779
java.vm.version,sysinfo,,,"24.65-b04",1482516616779
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1482516628477
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1482516628530
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1482516628577
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1482516633238
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1482516633440
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1482516633453
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1482516633921
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1482516633925
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1482516633953
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1482516633972
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1482516634715
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1482516634763
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1482516634823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1482516634889
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1482516634889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482516641612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482516727801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1482516727822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482516733124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482516738268
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1482516738490
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1482516738898
